상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,floating_pop_2024_high25,floating_pop_2024_high10,estimated_sales_2024_high25,estimated_sales_2024_high10,is_active_25,is_active_10,log_resident_pop_2024,z_resident_pop_2024,log_floating_pop_2024,z_floating_pop_2024,log_estimated_sales_2024,z_estimated_sales_2024,score,상권_코드_명,시군구명,행정동명,lat,lon
3110082,21244,9098509,31838552897,False,False,False,False,False,False,False,False,9.963876852548912,-0.1943875088464145,16.0236212218171,-0.3158163798075094,24.18394374770633,0.3922281639876359,-0.0393252415554293,용산구청,용산구,이태원1동,37.532461629251934,126.99108033225856
3110083,15850,2626281,807211531,False,False,False,False,False,False,False,False,9.670987868797893,-0.394797489334487,14.78107971574108,-1.3967577397919004,20.509096313323823,-1.5050260559659971,-1.098860428364128,서빙고역 1번,용산구,서빙고동,37.521269813309175,126.99241114664451
3110084,79560,25577590,36103837870,True,False,False,False,False,False,False,False,11.284279302019131,0.7091009929938625,17.05722717454339,0.5833627773993031,24.30966500885057,0.4571356730755282,0.5831998144895646,경리단길북측,용산구,이태원2동,37.541736988404416,126.99135978548166
3110085,58620,33456749,36196646555,False,False,True,False,False,False,False,False,10.978848273143605,0.5001090884385456,17.32576411790287,0.8169748437500999,24.312232314912517,0.4584611246342437,0.5918483522742964,경리단길남측,용산구,이태원2동,37.53876011547242,126.99163130616363
3110087,33914,6001387,3818622190,False,False,False,False,False,False,False,False,10.43161267338018,0.1256618338289413,15.607501333772232,-0.677817323438161,22.06315551151885,-0.7026946872547111,-0.4182833922879769,이태원엔틱가구거리,용산구,이태원1동,37.53199295112451,126.99436931203704
3110088,39356,9631477,7771400634,False,False,False,False,False,False,False,False,10.58042912874914,0.227489845708523,16.080547250710012,-0.2662939302240407,22.773716246985504,-0.3358456199208469,-0.1248832348121215,오산고등학교,용산구,서빙고동,37.525157294979635,126.99643262000806
3110089,53714,12892021,7976267866,False,False,False,False,False,False,False,False,10.891447571100644,0.4403049511618654,16.372119228400653,-0.0126426770811318,22.799736453169395,-0.3224118796451108,0.0350834648118742,서빙고동주민센터,용산구,서빙고동,37.52200789600012,126.99624106426312
3110090,42978,16091063,7801422754,False,False,False,False,False,False,False,False,10.668466903290184,0.2877299013501604,16.593774644812036,0.1801850925281748,22.77757195849546,-0.3338549889997518,0.0446866682928611,한국폴리텍대학서울정수캠퍼스,용산구,보광동,37.52762960233335,126.99699142844578
3110091,3258,5448143,9155622102,False,False,False,False,False,False,False,False,8.089175678837561,-1.4771562249407098,15.510785558180237,-0.7619546190448986,22.937633965030756,-0.251218002628,-0.8301096155378694,리움미술관,용산구,한남동,37.53691972386582,126.99837408529697
3110092,74346,20520566,3209704000,False,False,False,False,False,False,False,False,11.216498601376854,0.6627218881220502,16.836938209464044,0.3917237437428673,21.88944455831011,-0.7923783666216151,0.0873557550811008,NH농협은행 보광동지점,용산구,보광동,37.529047111778134,126.99989053542944
