상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,resident_pop_2024_high50,floating_pop_2024_high25,floating_pop_2024_high10,floating_pop_2024_high50,estimated_sales_2024_high25,estimated_sales_2024_high10,estimated_sales_2024_high50,is_active_25,is_active_10,is_active_50,상권_코드_명
3110180,27322,6379365,42681337733,False,False,False,False,False,False,False,False,True,False,False,False,광진정보도서관
3110181,30188,30379451,3466757592,False,False,False,True,False,True,False,False,False,False,False,False,신설동역 9번
3110182,22228,20879103,2988758540,False,False,False,False,False,True,False,False,False,False,False,False,용두희망어린이공원
3110183,11440,13842075,3454528623,False,False,False,False,False,False,False,False,False,False,False,False,한국의류시험연구원
3110184,4818,6993939,2281952197,False,False,False,False,False,False,False,False,False,False,False,False,용두사거리
3110185,9216,15264719,1040997976,False,False,False,False,False,False,False,False,False,False,False,False,용두초등학교
3110186,9628,4465183,7740165977,False,False,False,False,False,False,False,False,False,False,False,False,종암초등학교
3110187,91228,66868366,51910326251,True,False,True,True,True,True,True,False,True,True,False,True,제기동역 6번
3110188,85792,22181936,16786788616,True,False,True,False,False,True,False,False,False,False,False,False,용두동신동아아파트
3110189,48262,23336804,17500403338,False,False,True,False,False,True,False,False,True,False,False,True,제기동역 1번
3110190,51244,30938225,8118049754,False,False,True,True,False,True,False,False,False,False,False,False,고대앞사거리
3110191,25952,34266592,14166926232,False,False,False,True,False,True,False,False,False,False,False,False,고려대역 6번
3110192,12762,6532786,11395635299,False,False,False,False,False,False,False,False,False,False,False,False,동의보감타워
3110193,29878,19599644,2962629810,False,False,False,False,False,True,False,False,False,False,False,False,고려대역 4번
3110194,36604,12310758,27741155097,False,False,False,False,False,False,False,False,True,False,False,False,홍파초등학교
3110195,78398,38365393,31844809760,True,False,True,True,False,True,False,False,True,True,False,True,동대문구청
3110197,11596,6692281,1006633747,False,False,False,False,False,False,False,False,False,False,False,False,세종대왕기념관교차로
3110198,2662,6447707,656608180,False,False,False,False,False,False,False,False,False,False,False,False,동대문중앙새마을금고본점
3110199,22458,10445942,14192709878,False,False,False,False,False,False,False,False,False,False,False,False,홍릉시장
3110200,17002,11526444,1493102715,False,False,False,False,False,False,False,False,False,False,False,False,동대문경찰서
